a	какой-то
affairs	делишки
affect	сказаться|затронуть|отражаться
affectation	аффектация|кривлянье|ломанье
affected	искусственный|неестественный|наигранный
affected creature	жеманница
affected person	кривляка|ломака
affectedly	притворно
affecting	трогательный|умилительный
affection	поражение|привязанность|теплота
affectionate	ласковый|любящий|нежный
affectionate nature	привязчивость
affectionately	ласково
affectionateness	ласковость
affidavit	показание
affinity	свойство|сродство
affirm	утвердить
affirmation	утверждение
affirmative	утвердительный
affirmatively	утвердительно
affix	аффикс
affliction	мытарство
afflictions	горесть
afflux	прилив
afford	потянуть
afforestation	лесонасаждение|облесение
afforestation inspection	таксация
afforestation inspector	таксатор
affront	афронт
afghan	афганец|афганский|афганка
afoot	пешком
afore-cited	вышеприведённый
afore-mentioned	вышеупомянутый
afore-named	вышеназванный
aforesaid	означенный|вышеупомянутый|вышесказанный
aforethought	преднамеренный
afresh	вновь|сначала|сызнова
africa	африка
african	африканский|африканец|африканка
afro-asian	афро-азиатский
after	после|спустя|вслед
after a age	по
after all	ведь|таки|напоследок
after careful consideration	обдуманно
after dark	затемно
after midnight	пополуночи
after that	затем
after the event	постфактум
after this	засим
after-dinner	послеобеденный
after-effects	последствие
after-grass	отава
after-taste	осадок|привкус
after-work sanatorium	профилакторий
afterglow	заря
aftermath	отава
afternoon	день
afterripening	дозаривание
afterwards	потом|впоследствии|после
afterword	послесловие
afyon	дурман
again	снова|опять|вновь
against	против|противно|о
against a purpose	от
agamic	бесполый
agamous	безбрачный|бесполый
agamy	безбрачие
agaric	шампиньон
agate	агат|агатовый
agave	агава|столетник
age	возраст|век|эпоха
age-old	старинный|исконный|вековой
aged	престарелый|древний
aged man	старец
aged nun	старица
agency	агентство|орган
agenda	повестка
agent	агент|доверенный|комиссионер
agents	агентура
ages ago	давным-давно
agglomerate	агломерат
agglomeration	агломерация|агломерат
agglutinating	агглютинирующий
agglutination	агглютинация
agglutinative	агглютинативный
aggravated	обострённый
aggravation	усиление|обострение|усугубление
aggregate	агрегат|совокупность|общий
aggregation	агрегат
aggression	агрессия|нападение
aggressive	агрессивный|вызывающий
