a	какой-то
canadian	канадский|канадец|каноэ
canal	канал|проток
canalization	деривация
canape	тартинка
canard	утка
canary	канарейка
cancan	канкан
cancel	отменить|отменять
cancellation	погашение|отмена|аннулирование
cancelled	отменный
cancer	рак|раковый|онкологический
cancer specialist	онколог
cancerous	раковый
candelabrum	канделябр
candid	откровенный|чистосердечный|искренний
candidacy	кандидатура
candidate	кандидат
candidature	кандидатура
candidly	откровенно|искренно
candied	засахаренный
candies	сладость
candle	свеча
candle-end	огарок
candle-power	свеча
candle-snuff	нагар
candlepower	светосила
candlestick	подсвечник
candour	откровенность|искренность
candy	конфета|конфетка|сласти
candy-box beauty	красивость
candying	глазировка
cane	трость|камыш|палка
cane toad	ага
canine	клык|собачий
canker	рак|засечка
cankerous	раковый
canned goods-only plural	консервы
cannibal	людоед|антропофаг|каннибал
cannibalism	людоедство|антропофагия|каннибализм
cannon	пушка|пушечный|карамболь
cannon-founder	пушкарь
cannonade	канонада
canoe	челнок|каноэ|чёлн
canon	канон|каноник
canonical	канонический
canonization	канонизация
canopy	сень|полог|балдахин
cant	косяк|жаргон
cantaloup	канталупа
cantankerous	брюзгливый|вздорный|сварливый
cantata	кантата
canteen	столовый|буфет
canteen-keeper	маркитант|маркитантка
cantharides	мушка
canticle	песнопение
cantilena	кантилена
cantilever	консоль
canting hypocrite	ханжа
canto	песнь
canton	кантон
canvas	холст|картина|полотно
canyon	ущелье|каньон
canzone	канцона
caoutchouc	каучук
cap	шапка|колпак|шляпка
cap comforter	подшлемник
cap sleeve	японка
cap tool	обжимка
cap with ear-flaps	ушанка
cap-band	околыш
capability	дееспособность
capable of	способный
capable of working	трудоспособный
capacious	вместительный|ёмкий
capaciousness	вместительность|поместительность
capacitor	конденсатор
capacity	объём|ёмкость|мощность
capacity for work	работоспособность
capacity in liters	литраж
cape	мыс|накидка|пелерина
